Complexity,Loss,Equation
1,3.1200356,"x0"
3,2.8758726e-13,"x0 + x1"
21,2.3006982e-13,"(((x0 - (-2.1475573 - ((x1 * 0.8817341) - (((x1 * 0.8817346) - -0.1102504) + 0.46419033)))) + 0.29004127) + x1) - 1.8631593"
