time,input_u,output_y,mode_q
0,2,1.73205080756888,1
0.01,2.03141509970838,23.6332365366161,1
0.02,2.06282523860834,24.2762398251979,2
0.03,2.09422545667484,24.9289013169246,2
0.04,2.12561079544942,25.5911062686557,2
0.05,2.15697629882328,26.2627337684269,2
0.06,2.18831701381983,26.9436567648667,2
0.07,2.21962799137686,27.6337421005183,2
0.08,2.25090428712804,28.3328505490569,2
0.09,2.2821409621837,29.0408368563838,2
0.1,2.31333308391076,29.7575497855804,2
0.11,2.34447572671159,30.4828321656993,2
0.12,2.37556397280189,31.2165209443716,2
0.13,2.40659291298721,31.9584472442013,2
0.14,2.43755764743819,32.708436422922,2
0.15,2.46845328646431,33.4663081372823,2
0.16,2.49927495128602,34.2318764106286,2
0.17,2.53001777480514,35.0049497041497,2
0.18,2.56067690237345,35.7853309917445,2
0.19,2.59124749255931,36.5728178384746,2
0.2,2.62172471791214,37.3672024825574,2
0.21,2.65210376572474,38.1682719208568,2
0.22,2.68237983879331,38.9758079978242,2
0.23,2.71254815617494,39.7895874978403,2
0.24,2.74260395394259,40.6093822409076,2
0.25,2.77254248593737,41.4349591816388,2
0.26,2.80235902451802,42.266080511488,2
0.27,2.83204886130747,43.1025037641646,2
0.28,2.86160730793629,43.943981924172,2
0.29,2.89102969678313,44.7902635384097,2
0.3,2.9203113817117,45.6410928307743,2
0.31,2.9494477388045,46.496209819695,2
0.32,2.97843416709301,47.355350438535,2
0.33,3.00726608928416,48.2182466587921,2
0.34,3.03593895248321,49.0846266160243,2
0.35,3.06444822891268,49.9542147384304,2
0.36,3.09278941662733,50.8267318780102,2
0.37,3.12095804022508,51.7018954442279,2
0.38,3.14894965155372,52.5794195401015,2
0.39,3.17675983041333,53.4590151006387,2
0.4,3.20438418525429,54.340390033539,2
0.41,3.23181835387073,55.2232493620785,2
0.42,3.2590580040894,56.107295370096,2
0.43,3.28609883445377,56.992227748992,2
0.44,3.31293657490324,57.877743746658,2
0.45,3.33956698744749,58.7635383182456,2
0.46,3.36598586683567,59.6493042786875,2
0.47,3.39218904122047,60.5347324568813,2
0.48,3.41817237281689,61.4195118514433,2
0.49,3.44393175855567,62.3033297879417,2
0.5,3.46946313073118,63.1858720775151,2
0.51,3.4947624576438,64.0668231767826,2
0.52,3.51982574423651,64.9458663489506,2
0.53,3.54464903272584,65.822683826021,2
0.54,3.56922840322675,66.6969569720029,2
0.55,3.59355997437172,67.5683664470326,2
0.56,3.61763990392361,68.4365923723022,2
0.57,3.64146438938239,69.3013144957004,2
0.58,3.66502966858563,70.1622123580644,2
0.59,3.68833202030256,71.0189654599459,2
0.6,3.71136776482172,71.8712534287889,2
0.61,3.73413326453201,72.7187561864225,2
0.62,3.75662492449712,73.5611541167651,2
0.63,3.77883919302321,74.3981282336417,2
0.64,3.80077256221977,75.2293603486131,2
0.65,3.82242156855353,76.0545332387161,2
0.66,3.84378279339543,76.8733308140141,2
0.67,3.86485286356046,77.6854382848572,2
0.68,3.88562845184026,78.4905423287527,2
0.69,3.90610627752862,79.2883312567425,2
