Time,Temperature
0,20
1,19.85
2,19.701125
3,19.5533665625
4,19.4067163132813
5,19.2611659409316
6,19.1167071963747
7,18.9733318924018
8,19.0560319032088
9,19.1381116639348
10,19.2195758264552
11,19.3004290077568
12,19.3806757901987
13,19.4603207217722
14,19.5393683163589
15,19.6178230539862
16,19.6956893810813
17,19.7729717107232
18,19.8496744228928
19,19.9258018647211
20,20.0013583507357
21,20.0763481631051
22,20.1507755518818
23,20.2246447352427
24,20.2979598997284
25,20.3707252004805
26,20.4429447614768
27,20.5146226757658
28,20.5857630056975
29,20.6563697831548
30,20.7264470097811
31,20.7959986572078
32,20.8650286672787
33,20.9335409522741
34,21.0015393951321
35,20.8440278496686
36,20.6876976407961
37,20.5325399084901
38,20.3785458591764
39,20.2257067652326
40,20.0740139644934
41,19.9234588597597
42,19.7740329183115
43,19.6257276714241
44,19.4785347138884
45,19.3324457035343
46,19.1874523607578
47,19.0435464680521
48,18.9007198695417
49,18.9839644705201
50,19.0665847369912
51,19.1485853514638
52,19.2299709613278
53,19.3107461791179
54,19.3909155827745
55,19.4704837159037
56,19.5494550880344
57,19.6278341748741
58,19.7056254185626
59,19.7828332279234
60,19.8594619787139
61,19.9355160138736
62,20.0109996437695
63,20.0859171464413
64,20.160272767843
65,20.2340707220841
66,20.3073151916685
67,20.380010327731
68,20.452160250273
69,20.523769048396
70,20.594840780533
71,20.665379474679
72,20.7353891286189
73,20.8048737101543
74,20.8738371573281
75,20.9422833786481
76,21.0102162533083
77,20.8526396314085
78,20.6962448341729
79,20.5410229979166
80,20.3869653254322
81,20.2340630854915
82,20.0823076123503
83,19.9316903052577
84,19.7822026279683
85,19.6338361082585
86,19.4865823374466
87,19.3404329699157
88,19.1953797226413
89,19.0514143747215
90,18.9085287669111
91,18.9917148011593
92,19.0742769401506
93,19.1562198630995
94,19.2375482141262
95,19.3182666025203
96,19.3983796030014
97,19.4778917559789
98,19.556807567809
99,19.6351315110504
100,19.7128680247176
101,19.7900215145322
102,19.8665963531732
103,19.9425968805244
104,20.0180274039205
105,20.0928921983911
106,20.1671955069031
107,20.2409415406014
108,20.3141344790468
109,20.386778470454
110,20.4588776319256
111,20.5304360496861
112,20.6014577793135
113,20.6719468459686
114,20.7419072446239
115,20.8113429402892
116,20.880257868237
117,20.9486559342253
118,21.0165410147186
119,20.8589169571082
120,20.7024750799299
121,20.5472065168304
122,20.3931024679542
123,20.2401541994445
124,20.0883530429487
125,19.9376903951266
126,19.7881577171631
127,19.6397465342844
128,19.4924484352773
129,19.3462550720127
130,19.2011581589726
131,19.0571494727803
132,18.9142208517344
133,18.9973641953464
134,19.0798839638813
135,19.1617848341522
136,19.2430714478961
137,19.3237484120369
138,19.4038202989466
139,19.4832916467045
140,19.5621669593542
141,19.640450707159
142,19.7181473268554
143,19.7952612219039
144,19.8717967627397
145,19.9477582870191
146,20.0231500998665
147,20.0979764741175
148,20.1722416505616
149,20.2459498381824
150,20.319105214396
151,20.391711925288
152,20.4637740858484
153,20.5352957802045
154,20.606281061853
155,20.6767339538891
156,20.7466584492349
157,20.8160585108656
158,20.8849380720341
159,20.9533010364939
160,21.0211512787202
161,20.8634926441298
162,20.7070164492988
163,20.5517138259291
164,20.3975759722346
165,20.2445941524428
166,20.0927596962995
167,19.9420639985773
168,19.792498518588
169,19.6440547796985
170,19.4967243688508
171,19.3504989360844
172,19.2053701940638
173,19.0613299176083
174,18.9183699432262
175,19.001482168652
176,19.0839710523872
177,19.1658412694943
178,19.247097459973
179,19.3277442290232
180,19.4077861473056
181,19.4872277512008
182,19.5660735430668
183,19.6443279914938
184,19.7219955315576
185,19.7990805650709
186,19.8755874608329
187,19.9515205548766
188,20.026884150715
189,20.1016825195847
190,20.1759199006878
191,20.2496005014326
192,20.3227284976719
193,20.3953080339393
194,20.4673432236848
195,20.5388381495072
196,20.6097968633859
197,20.6802233869105
198,20.7501217115086
199,20.8194957986723
200,20.8883495801823
201,20.9566869583309
202,21.0245118061434
203,20.8668279675974
204,20.7103267578404
205,20.5549993071566
206,20.4008368123529
207,20.2478305362603
208,20.0959718072383
209,19.945252018684
210,19.7956626285439
211,19.6471951588298
212,19.4998411951386
213,19.353592386175
214,19.2084404432787
215,19.0643771399541
216,18.9213943114045
217,19.004483854069
218,19.0869502251634
219,19.1687980984747
220,19.2500321127362
221,19.3306568718906
222,19.4106769453515
223,19.4900968682613
224,19.5689211417494
225,19.6471542331862
226,19.7248005764373
227,19.8018645721141
228,19.8783505878232
229,19.9542629584145
230,20.0296059862264
231,20.1043839413297
232,20.1786010617697
233,20.2522615538065
234,20.3253695921529
235,20.3979293202118
236,20.4699448503102
237,20.5414202639329
238,20.6123596119534
239,20.6827669148637
