group_id,loss,equation
0,6.841488e-6,L_H*(-CapacitorVoltage_V + 0.86662974209324*sqrt(-CapacitorVoltage_V*L_H*(0.782729352360889*CapacitorVoltage_V/Vin_V - 2.3984600777934)/Vin_V) + 24.001358)
1,4.717877e-10,-L_H*(CapacitorVoltage_V + L_H) + L_H*sqrt(Vin_V)/(CapacitorVoltage_V*(2*CapacitorVoltage_V + L_H - Vin_V - 0.062180087))
