window_start,window_end,extensions,equation,loss
0,740,17,L_H*(-CapacitorVoltage_V - 23976.105)*0.9999949 + Vin_V,6.841488e-6
740,2000,30,-CapacitorVoltage_V*L_H + L_H/(((CapacitorVoltage_V - 12.040761)*68.88947)),4.717877e-10
