Time_s,InductorCurrent_A,CapacitorVoltage_V,SwitchState,Vin_V,L_H,C_F,R_Ohm
0.0,0.0,0.0,1,24,0.001,0.00047,10
1e-06,0.024,0.0,1,24,0.001,0.00047,10
2e-06,0.048,5.1063829787234e-05,1,24,0.001,0.00047,10
3e-06,0.0719999489361702,0.000153180624717,1,24,0.001,0.00047,10
4e-06,0.0959997957555455,0.00030633941381,1,24,0.001,0.00047,10
5e-06,0.119999489416132,0.0005105291197976,1,24,0.001,0.00047,10
6e-06,0.143998978887012,0.0007657385591681,1,24,0.001,0.00047,10
7e-06,0.167998213148453,0.001071956442213,1,24,0.001,0.00047,10
8e-06,0.191997141192011,0.0014291713730731,1,24,0.001,0.00047,10
9e-06,0.215995712020637,0.0018373718497852,1,24,0.001,0.00047,10
1e-05,0.239993874648788,0.0022965462643292,1,24,0.001,0.00047,10
1.1e-05,0.263991578102523,0.0028066829026746,1,24,0.001,0.00047,10
1.2e-05,0.287988771419621,0.0033677699448283,1,24,0.001,0.00047,10
1.3e-05,0.311985403649676,0.0039797954648818,1,24,0.001,0.00047,10
1.4e-05,0.335981423854211,0.0046427474310588,1,24,0.001,0.00047,10
1.5e-05,0.35997678110678,0.0053566137057633,1,24,0.001,0.00047,10
1.6e-05,0.383971424493074,0.0061213820456275,1,24,0.001,0.00047,10
1.7e-05,0.407965303111029,0.0069370401015606,1,24,0.001,0.00047,10
1.8e-05,0.431958366070927,0.0078035754187965,1,24,0.001,0.00047,10
1.9e-05,0.455950562495508,0.0087209754369434,1,24,0.001,0.00047,10
2e-05,0.479941841520071,0.0096892274900323,1,24,0.001,0.00047,10
2.1e-05,0.503932152292581,0.0107083188065666,1,24,0.001,0.00047,10
2.2e-05,0.527921443973775,0.0117782365095707,1,24,0.001,0.00047,10
2.3e-05,0.551909665737265,0.0128989676166405,1,24,0.001,0.00047,10
2.4e-05,0.575896766769649,0.0140704990399928,1,24,0.001,0.00047,10
2.5e-05,0.599882696270609,0.0152928175865155,1,24,0.001,0.00047,10
2.6e-05,0.623867403453022,0.0165659099578175,1,24,0.001,0.00047,10
2.7e-05,0.647850837543064,0.0178897627502797,1,24,0.001,0.00047,10
2.8e-05,0.671832947780314,0.0192643624551053,1,24,0.001,0.00047,10
2.9e-05,0.695813683417859,0.0206896954583709,1,24,0.001,0.00047,10
3e-05,0.7197929937224,0.0221657480410773,1,24,0.001,0.00047,10
3.1e-05,0.743770827974359,0.0236925063792013,1,24,0.001,0.00047,10
3.2e-05,0.76774713546798,0.0252699565437469,1,24,0.001,0.00047,10
3.3e-05,0.791721865511436,0.0268980845007972,1,24,0.001,0.00047,10
3.4e-05,0.815694967426936,0.028576876111566,1,24,0.001,0.00047,10
3.5e-05,0.839666390550824,0.0303063171324507,1,24,0.001,0.00047,10
3.6e-05,0.863636084233692,0.0320863932150838,1,24,0.001,0.00047,10
3.7e-05,0.887603997840476,0.0339170899063863,1,24,0.001,0.00047,10
3.8e-05,0.91157008075057,0.03579839264862,1,24,0.001,0.00047,10
3.9e-05,0.935534282357921,0.0377302867794407,1,24,0.001,0.00047,10
4e-05,0.959496552071142,0.0397127575319513,1,24,0.001,0.00047,10
4.1e-05,0.98345683931361,0.0417457900347554,1,24,0.001,0.00047,10
4.2e-05,1.00741509352358,0.043829369312011,1,24,0.001,0.00047,10
4.3e-05,1.03137126415426,0.0459634802834841,1,24,0.001,0.00047,10
4.4e-05,1.05532530067398,0.0481481077646031,1,24,0.001,0.00047,10
4.5e-05,1.07927715256622,0.0503832364665127,1,24,0.001,0.00047,10
4.6e-05,1.10322676932975,0.0526688509961288,1,24,0.001,0.00047,10
4.7e-05,1.12717410047875,0.0550049358561929,1,24,0.001,0.00047,10
4.8e-05,1.1511190955429,0.0573914754453273,1,24,0.001,0.00047,10
4.9e-05,1.17506170406745,0.0598284540580897,1,24,0.001,0.00047,10
5e-05,1.19900187561339,0.0623158558850294,1,24,0.001,0.00047,10
5.1e-05,1.22293955975751,0.0648536650127419,1,24,0.001,0.00047,10
5.2e-05,1.2468747060925,0.0674418654239254,1,24,0.001,0.00047,10
5.3e-05,1.27080726422707,0.0700804409974363,1,24,0.001,0.00047,10
5.4e-05,1.29473718378607,0.0727693755083455,1,24,0.001,0.00047,10
5.5e-05,1.31866441441057,0.0755086526279949,1,24,0.001,0.00047,10
5.6e-05,1.34258890575794,0.078298255924054,1,24,0.001,0.00047,10
5.7e-05,1.36651060750201,0.0811381688605764,1,24,0.001,0.00047,10
5.8e-05,1.39042946933315,0.0840283747980572,1,24,0.001,0.00047,10
5.9e-05,1.41434544095836,0.0869688569934898,1,24,0.001,0.00047,10
6e-05,1.43825847210136,0.0899595986004239,1,24,0.001,0.00047,10
6.1e-05,1.46216851250276,0.0930005826690224,1,24,0.001,0.00047,10
6.2e-05,1.48607551192009,0.09609179214612,1,24,0.001,0.00047,10
6.3e-05,1.50997942012795,0.0992332098752806,1,24,0.001,0.00047,10
6.4e-05,1.53388018691807,0.102424818596856,1,24,0.001,0.00047,10
6.5e-05,1.55777776209947,0.105666600948044,1,24,0.001,0.00047,10
6.6e-05,1.58167209549853,0.108958539462948,1,24,0.001,0.00047,10
